"Driver","GP","Year","Team","LapTimeQ1","PositionQ1","GapToKnockoutQ1","LapTimeQ2","PositionQ2","GapToKnockoutQ2","GridPosition","RacePosition","Status","Points","PositionDifference","ChampionshipPoints","LastRacePosition","TeamChampionshipPoints","TeammateLastRacePosition","LapTimeFP1","GapToFastestFP1","PositionFP1","LapTimeFP2","GapToFastestFP2","PositionFP2","LapTimeFP3","GapToFastestFP3","PositionFP3","StartingTire","NumberOfPitStops","TiresUsed","MadeItToQ2","MadeItToQ3","DNF","Strategy","TireSOFT","TireMEDIUM","TireHARD","TireWET","TireINTERMEDIATE","TireUNKNOWN","MostPopularStrategy","AlternativeStrategy","Pitlane","DNFDriving","DNFMechanical"
"TSU","Saudi Arabia",2023,"RB",89.939,16,-0.0100000000000051,NA,NA,NA,16,11,"Finished",0,5,0,11,0,14,91.11,1.493,10,90.776,1.173,13,90.797,2.31200000000001,19,"MEDIUM",1,"MEDIUM, HARD",0,NA,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"TSU","Saudi Arabia",2024,"RB",88.988,10,0.119,88.564,8,0.0420000000000015,9,15,"+1 Lap",0,-6,0,15,0,16,91.036,1.377,16,89.666,0.838999999999999,11,89.572,1.16,13,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM",1,0,0,0
"TSU","Singapore",2022,"RB",115.314,8,0.599999999999994,113.848,8,0.157999999999987,10,15,"Accident",0,-5,5,15,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INTERMEDIATE",1,"INTERMEDIATE, MEDIUM",1,1,1,"INTERMEDIATE-MEDIUM",0,0,0,0,1,0,"INTERMEDIATE-MEDIUM",0,0,1,0
"TSU","Singapore",2023,"RB",91.991,1,0.677000000000007,NA,NA,NA,15,19,"Collision",0,-4,3,19,5,9,94.042,0.691999999999993,9,93.477,1.357,16,92.945,0.879999999999995,10,"SOFT",0,"SOFT",1,NA,1,"SOFT",1,0,0,0,0,0,"MEDIUM-HARD",1,0,1,0
"TSU","Spain",2021,"RB",78.556,16,-0.007000000000005,NA,NA,NA,16,20,"Electrical",0,-4,2,20,11,10,79.669,1.16500000000001,11,78.619,0.448999999999998,7,78.673,0.837999999999994,12,"SOFT",0,"SOFT",0,NA,1,"SOFT",1,0,0,0,0,0,"SOFT-MEDIUM-SOFT",1,0,0,1
"TSU","Spain",2022,"RB",80.707,12,0.173000000000002,80.639,13,-0.203000000000003,13,10,"+1 Lap",1,3,5,10,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOFT",1,"SOFT, MEDIUM, SOFT",1,0,0,"SOFT-MEDIUM-SOFT-SOFT",1,0,0,0,0,0,"SOFT-MEDIUM-MEDIUM-SOFT",1,0,0,0
"TSU","Spain",2023,"RB",73.862,14,0.0120000000000004,74.477,15,-1.194,15,12,"Finished",0,3,1,12,1,14,75.915,1.309,14,74.84,0.932999999999993,17,74.659,0.995000000000004,9,"SOFT",2,"SOFT, HARD, MEDIUM",1,0,0,"SOFT-HARD-MEDIUM",1,0,0,0,0,0,"SOFT-MEDIUM-HARD-MEDIUM",1,0,0,0
"TSU","Spain",2024,"RB",72.985,17,-0.103999999999999,NA,NA,NA,17,19,"+1 Lap",0,-2,17,19,17,15,75.916,1.688,20,74.211,0.946999999999988,15,74.42,1.407,18,"SOFT",2,"SOFT, MEDIUM, HARD, SOFT",0,NA,0,"SOFT-MEDIUM-HARD-SOFT",1,0,0,0,0,0,"SOFT-MEDIUM-SOFT",1,0,0,0
"TSU","Styria",2021,"RB",64.608,4,0.534000000000006,64.631,8,0.0320000000000106,11,10,"+1 Lap",1,1,33,10,141,20,66.397,0.486999999999995,5,66.451,1.116,15,65.15,0.781000000000006,5,"SOFT",1,"SOFT, HARD",1,1,0,"SOFT-HARD",1,0,0,0,0,0,"MEDIUM-HARD",1,0,0,0
"TSU","Turkey",2021,"RB",85.409,10,0.378,84.054,8,0.588000000000008,9,14,"+1 Lap",0,-5,32,14,139,6,86.424,2.246,18,84.882,1.078,11,91.981,1.53400000000001,8,"INTERMEDIATE",0,"INTERMEDIATE",1,1,0,"INTERMEDIATE-INTERMEDIATE",0,0,0,0,1,0,"INTERMEDIATE-INTERMEDIATE",0,0,0,0
"VER","70th",2020,"Red Bull Racing",87.154,4,0.602999999999994,86.779,9,0.105999999999995,4,1,"Finished",25,3,218,1,318,5,86.893,0.72699999999999,3,86.437,0.831000000000003,4,87.455,0.834000000000003,7,"HARD",1,"HARD, MEDIUM, HARD",1,1,0,"HARD-MEDIUM-HARD",0,0,1,0,0,0,"MEDIUM-HARD-HARD",1,0,0,0
"VER","Abu Dhabi",2019,"Red Bull Racing",96.39,4,1.32000000000001,96.275,5,0.584000000000003,2,2,"Finished",18,0,224,2,344,6,97.492,0.534999999999997,2,96.807,0.551000000000002,5,96.566,0,1,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"VER","Abu Dhabi",2020,"Red Bull Racing",95.993,4,1.08199999999999,95.641,3,0.641000000000005,1,1,"Finished",25,0,114,1,167,4,97.378,0,1,97.029,0.932000000000002,4,96.251,0,1,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"VER","Abu Dhabi",2021,"Red Bull Racing",83.322,3,0.903000000000006,82.8,1,0.647999999999996,1,1,"Finished",26,0,220.5,1,332.5,15,85.009,0,1,84.332,0.641000000000005,5,83.488,0.213999999999999,2,"SOFT",1,"SOFT, HARD, SOFT",1,1,0,"SOFT-HARD-HARD-SOFT",1,0,0,0,0,0,"MEDIUM-HARD-SOFT",1,0,0,0
"VER","Abu Dhabi",2022,"Red Bull Racing",84.754,1,1.02800000000001,84.622,4,0.446000000000012,1,1,"Finished",25,0,280,1,498,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD-HARD",1,0,0,0
"VER","Abu Dhabi",2023,"Red Bull Racing",84.16,1,0.439999999999998,83.74,1,0.537999999999997,1,1,"Finished",26,0,480,1,707,4,NA,NA,NA,84.982,0.172999999999988,3,85.153,0.734999999999999,6,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD-HARD",0,1,0,0,0,0,"MEDIUM-HARD-HARD",0,0,0,0
"VER","Austin",2019,"Red Bull Racing",93.549,3,0.611999999999995,93.12,4,0.662000000000006,3,3,"Finished",15,0,173,3,275,5,94.057,0,1,93.547,0.315000000000012,3,93.305,0,1,"MEDIUM",1,"MEDIUM, HARD, MEDIUM",1,1,0,"MEDIUM-HARD-MEDIUM",0,1,0,0,0,0,"MEDIUM-HARD-MEDIUM",0,0,0,0
"VER","Austin",2021,"Red Bull Racing",94.352,2,1.568,93.464,1,1.67299999999999,1,1,"Finished",25,0,151.5,1,235.5,3,95.806,0.932000000000002,3,95.824,0.981999999999999,8,94.383,0,1,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD-HARD",0,1,0,0,0,0,"MEDIUM-HARD-HARD",0,0,0,0
"VER","Austin",2022,"Red Bull Racing",95.864,3,1.068,95.294,2,1.047,2,1,"Finished",25,1,222,1,404,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD, MEDIUM",1,1,0,"MEDIUM-HARD-MEDIUM",0,1,0,0,0,0,"MEDIUM-HARD-HARD-SOFT",1,0,0,0
"VER","Austin",2023,"Red Bull Racing",95.346,3,0.867000000000004,95.008,2,0.670999999999992,6,1,"Finished",25,5,378,1,580,4,95.912,0,1,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD-MEDIUM-SOFT",1,0,0,0
"VER","Australia",2019,"Red Bull Racing",82.876,10,0.0900000000000034,81.678,3,0.853999999999999,4,3,"Finished",15,1,39,3,52,11,83.792,0.192999999999998,4,83.4,0.799999999999997,3,83.481,1.18900000000001,9,"SOFT",1,"SOFT, MEDIUM",1,1,0,"SOFT-MEDIUM",1,0,0,0,0,0,"SOFT-HARD",1,0,0,0
"VER","Australia",2022,"Red Bull Racing",78.58,1,1.524,78.611,4,0.525000000000006,2,18,"Fuel leak",0,-16,0,18,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,1,1,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,1
"VER","Australia",2023,"Red Bull Racing",77.384,1,1.087,77.056,1,0.704999999999998,1,1,"Finished",25,0,69,1,123,5,78.79,0,1,79.502,0.615000000000009,3,77.565,0,1,"MEDIUM",2,"MEDIUM, HARD, SOFT",1,1,0,"MEDIUM-HARD-SOFT-SOFT",0,1,0,0,0,0,"MEDIUM-HARD-HARD-SOFT-SOFT",1,0,0,0
"VER","Australia",2024,"Red Bull Racing",76.819,3,0.890000000000001,76.387,3,0.51400000000001,1,19,"Brakes",0,-18,51,19,97,5,78.582,0.0180000000000006,2,77.658,0.381,2,76.734,0.0200000000000102,2,"MEDIUM",0,"MEDIUM",1,1,1,"MEDIUM",0,1,0,0,0,0,"MEDIUM",0,0,0,1
"VER","Austria",2019,"Red Bull Racing",63.807,1,0.971000000000004,63.835,4,0.631000000000007,2,1,"Finished",26,1,102,1,156,7,65.26,0.421999999999997,5,65.879,0.793000000000006,9,64.446,0.458999999999996,5,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"VER","Austria",2020,"Red Bull Racing",64.024,1,1.07000000000001,64,8,0.041000000000011,2,20,"Electronics",0,-18,37,20,56,13,65.418,0.602000000000004,3,65.215,0.911000000000001,8,64.413,0.283000000000001,3,"MEDIUM",0,"MEDIUM",1,1,1,"MEDIUM",0,1,0,0,0,0,"SOFT-HARD-MEDIUM-MEDIUM",1,0,0,1
