,Driver,Team,LapTimeQ1,PositionQ1,GapToKnockoutQ1,Year,GP,LapTimeQ2,PositionQ2,GapToKnockoutQ2,GridPosition,RacePosition,Status,Points,PositionDifference,ChampionshipPoints,LastRacePosition,TeamChampionshipPoints,TeammateLastRacePosition,LapTimeFP1,GapToFastestFP1,PositionFP1,LapTimeFP2,GapToFastestFP2,PositionFP2,LapTimeFP3,GapToFastestFP3,PositionFP3,StartingTyre,NumberOfPitStops,TyresUsed,MadeItToQ2,MadeItToQ3,DNF,Strategy,TyreSOFT,TyreMEDIUM,TyreHARD,TyreWET,TyreINTERMEDIATE,TyreUNKNOWN,MostPopularStrategy,AlternativeStrategy,Pitlane,DNFDriving,DNFMechanical
22,HAM,Mercedes,93.115,3,1.033,2019,China,91.637,1.0,1.599,2.0,1.0,Finished,25.0,1.0,50.0,1.0,86.0,2.0,94.118,0.207000000000008,2.0,94.037,0.706999999999994,4.0,93.689,0.858999999999995,4.0,MEDIUM,1,"MEDIUM, HARD, MEDIUM",1.0,1.0,0,MEDIUM-HARD-MEDIUM,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,0,0.0,0,0
23,VER,Red Bull Racing,93.274,4,0.874000000000009,2019,China,92.369,5.0,0.867000000000004,5.0,4.0,Finished,12.0,1.0,24.0,4.0,37.0,6.0,94.334,0.423000000000002,4.0,93.551,0.220999999999989,3.0,94.447,1.61699999999999,7.0,MEDIUM,1,"MEDIUM, HARD, MEDIUM",1.0,1.0,0,MEDIUM-HARD-MEDIUM,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,0,0.0,0,0
24,VET,Ferrari,93.557,5,0.591000000000008,2019,China,92.232,3.0,1.004,3.0,3.0,Finished,15.0,0.0,25.0,3.0,51.0,5.0,93.911,0.0,1.0,93.357,0.0269999999999868,2.0,93.222,0.391999999999996,2.0,MEDIUM,1,"MEDIUM, HARD, MEDIUM",1.0,1.0,0,MEDIUM-HARD-MEDIUM,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,0,0.0,0,0
25,HUL,Alpine,93.644,6,0.504000000000005,2019,China,93.968,15.0,-0.731999999999999,8.0,20.0,Power Unit,0.0,-12.0,0.0,20.0,6.0,7.0,95.591,1.68000000000001,12.0,94.096,0.765999999999991,5.0,93.974,1.14399999999999,5.0,SOFT,1,"SOFT, HARD",1.0,0.0,1,SOFT-HARD,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,1
26,SAI,McLaren,93.686,7,0.462000000000003,2019,China,93.523,13.0,-0.287000000000006,14.0,14.0,+1 Lap,0.0,0.0,0.0,14.0,8.0,18.0,95.756,1.845,16.0,94.141,0.810999999999993,6.0,94.51,1.67999999999999,8.0,MEDIUM,2,"MEDIUM, HARD, SOFT",1.0,0.0,0,MEDIUM-HARD-SOFT,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
27,RIC,Alpine,93.709,8,0.439000000000007,2019,China,93.214,9.0,0.0219999999999913,7.0,7.0,+1 Lap,6.0,0.0,6.0,7.0,6.0,20.0,95.239,1.328,6.0,94.336,1.006,9.0,95.142,2.312,13.0,SOFT,1,"SOFT, HARD",1.0,1.0,0,SOFT-HARD,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
28,GRO,Haas F1 Team,93.752,9,0.396000000000001,2019,China,93.156,8.0,0.0799999999999983,10.0,11.0,+1 Lap,0.0,-1.0,0.0,11.0,0.0,13.0,95.507,1.596,10.0,95.704,2.374,17.0,95.771,2.94099999999999,17.0,SOFT,2,"SOFT, HARD, MEDIUM",1.0,1.0,0,SOFT-HARD-MEDIUM,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
29,KVY,RB,93.783,10,0.365000000000009,2019,China,93.236,10.0,0.0,11.0,19.0,Collision,0.0,-8.0,0.0,19.0,3.0,10.0,95.447,1.536,8.0,94.694,1.36399999999999,13.0,94.783,1.95299999999999,10.0,MEDIUM,2,"MEDIUM, HARD, SOFT",1.0,1.0,1,MEDIUM-MEDIUM-HARD-SOFT,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,1,0
30,GAS,Red Bull Racing,93.863,11,0.285000000000011,2019,China,92.948,6.0,0.287999999999997,6.0,6.0,Finished,9.0,0.0,13.0,6.0,37.0,4.0,95.428,1.51700000000001,7.0,94.455,1.125,10.0,95.326,2.496,15.0,SOFT,2,"SOFT, HARD, MEDIUM, SOFT",1.0,1.0,0,SOFT-HARD-MEDIUM-SOFT,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
31,PER,Aston Martin,94.026,12,0.122,2019,China,93.299,11.0,-0.0630000000000023,12.0,8.0,+1 Lap,4.0,4.0,5.0,8.0,5.0,12.0,95.82,1.90900000000001,17.0,94.784,1.45399999999999,15.0,95.078,2.24799999999999,12.0,MEDIUM,1,"MEDIUM, HARD",1.0,0.0,0,MEDIUM-HARD,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
32,MAG,Haas F1 Team,94.036,13,0.112000000000009,2019,China,93.15,7.0,0.0859999999999985,9.0,13.0,+1 Lap,0.0,-4.0,0.0,13.0,0.0,11.0,95.517,1.60600000000001,11.0,94.788,1.458,16.0,95.998,3.16799999999999,18.0,SOFT,2,"SOFT, HARD, MEDIUM",1.0,1.0,0,SOFT-HARD-MEDIUM,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
33,RAI,Kick Sauber,94.125,14,0.0230000000000103,2019,China,93.419,12.0,-0.183000000000007,13.0,9.0,+1 Lap,2.0,4.0,8.0,9.0,8.0,15.0,95.729,1.818,15.0,94.551,1.22099999999999,11.0,94.246,1.416,6.0,MEDIUM,1,"MEDIUM, HARD",1.0,0.0,0,MEDIUM-HARD,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
34,NOR,McLaren,94.148,15,0.0,2019,China,93.967,14.0,-0.730999999999995,15.0,18.0,Collision,0.0,-3.0,8.0,18.0,8.0,14.0,95.631,1.72,13.0,94.296,0.965999999999994,8.0,94.938,2.10799999999999,11.0,MEDIUM,2,"MEDIUM, HARD, MEDIUM, SOFT",1.0,0.0,1,MEDIUM-HARD-MEDIUM-SOFT,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,1,0
35,STR,Aston Martin,94.292,16,-0.143999999999991,2019,China,,,,16.0,12.0,+1 Lap,0.0,4.0,0.0,12.0,5.0,8.0,95.466,1.55500000000001,9.0,94.779,1.449,14.0,95.223,2.39299999999999,14.0,MEDIUM,2,"MEDIUM, HARD, SOFT",0.0,,0,MEDIUM-HARD-SOFT,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
36,RUS,Williams,95.253,17,-1.10499999999999,2019,China,,,,17.0,16.0,+2 Laps,0.0,1.0,0.0,16.0,0.0,17.0,97.619,3.708,19.0,96.229,2.89899999999999,20.0,96.124,3.294,19.0,MEDIUM,2,"MEDIUM, HARD, SOFT",0.0,,0,MEDIUM-HARD-SOFT,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
37,KUB,Williams,95.281,18,-1.133,2019,China,,,,18.0,17.0,+2 Laps,0.0,1.0,0.0,17.0,0.0,16.0,96.847,2.93600000000001,18.0,96.121,2.791,19.0,96.176,3.34599999999999,20.0,MEDIUM,1,"MEDIUM, HARD",0.0,,0,MEDIUM-HARD,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
38,ALB,RB,,19,,2019,China,,,,20.0,10.0,+1 Lap,1.0,-10.0,3.0,10.0,3.0,19.0,95.695,1.78400000000001,14.0,94.634,1.30399999999999,12.0,94.6,1.77,9.0,SOFT,1,"SOFT, HARD",,,0,SOFT-HARD,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,1.0,0,0
39,GIO,Kick Sauber,,20,,2019,China,,,,19.0,15.0,+1 Lap,0.0,4.0,0.0,15.0,8.0,9.0,,,,95.914,2.58399999999999,18.0,95.726,2.89599999999999,16.0,SOFT,1,"SOFT, MEDIUM",,,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,MEDIUM-HARD-MEDIUM,1,0.0,0,0
40,LEC,Ferrari,82.017,1,0.948999999999998,2019,Australia,81.739,4.0,0.793000000000006,5.0,5.0,Finished,10.0,0.0,36.0,5.0,73.0,4.0,83.673,0.073999999999998,3.0,83.754,1.154,9.0,82.749,0.457000000000008,3.0,SOFT,1,"SOFT, HARD",1.0,1.0,0,SOFT-HARD,1,0,0,0,0,0,SOFT-HARD,0,0.0,0,0
41,HAM,Mercedes,82.043,2,0.923000000000002,2019,Australia,81.014,1.0,1.518,1.0,2.0,Finished,18.0,-1.0,68.0,2.0,130.0,1.0,83.599,0.0,1.0,82.6,0.0,1.0,82.292,0.0,1.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
42,BOT,Mercedes,82.367,3,0.599000000000004,2019,Australia,81.193,2.0,1.339,2.0,1.0,Finished,26.0,1.0,62.0,1.0,130.0,2.0,83.866,0.266999999999996,5.0,82.648,0.0480000000000018,2.0,83.422,1.13000000000001,7.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
43,GIO,Kick Sauber,82.431,4,0.534999999999997,2019,Australia,82.714,14.0,-0.181999999999988,14.0,15.0,+1 Lap,0.0,-1.0,0.0,15.0,12.0,8.0,85.166,1.56700000000001,11.0,84.293,1.693,15.0,83.831,1.539,12.0,MEDIUM,1,"MEDIUM, SOFT",1.0,0.0,0,MEDIUM-SOFT,0,1,0,0,0,0,SOFT-HARD,1,0.0,0,0
44,KVY,RB,82.511,5,0.454999999999998,2019,Australia,82.774,15.0,-0.24199999999999,15.0,10.0,+1 Lap,1.0,5.0,1.0,10.0,4.0,14.0,84.832,1.233,7.0,83.933,1.333,11.0,83.442,1.15000000000001,8.0,MEDIUM,1,"MEDIUM, HARD",1.0,0.0,0,MEDIUM-HARD,0,1,0,0,0,0,SOFT-HARD,1,0.0,0,0
45,MAG,Haas F1 Team,82.519,6,0.447000000000003,2019,Australia,82.221,7.0,0.311000000000007,7.0,6.0,Finished,8.0,1.0,8.0,6.0,8.0,18.0,84.934,1.33500000000001,9.0,83.988,1.38799999999999,12.0,83.334,1.042,5.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
46,HUL,Alpine,82.54,7,0.426000000000002,2019,Australia,82.562,11.0,-0.0300000000000011,11.0,7.0,+1 Lap,6.0,4.0,6.0,7.0,12.0,19.0,85.015,1.416,10.0,83.574,0.974000000000004,7.0,83.737,1.44500000000001,11.0,SOFT,1,"SOFT, HARD",1.0,0.0,0,SOFT-HARD,1,0,0,0,0,0,SOFT-HARD,0,0.0,0,0
47,NOR,McLaren,82.702,8,0.26400000000001,2019,Australia,82.423,9.0,0.109000000000009,8.0,12.0,+1 Lap,0.0,-4.0,8.0,12.0,8.0,20.0,85.966,2.367,18.0,84.733,2.133,18.0,84.568,2.27600000000001,18.0,SOFT,1,"SOFT, HARD",1.0,1.0,0,SOFT-HARD,1,0,0,0,0,0,SOFT-HARD,0,0.0,0,0
48,ALB,RB,82.757,9,0.209000000000003,2019,Australia,82.636,13.0,-0.103999999999999,13.0,14.0,+1 Lap,0.0,-1.0,3.0,14.0,4.0,10.0,85.23,1.631,13.0,84.675,2.075,17.0,84.328,2.036,15.0,SOFT,1,"SOFT, MEDIUM",1.0,0.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
49,VER,Red Bull Racing,82.876,10,0.0900000000000034,2019,Australia,81.678,3.0,0.853999999999999,4.0,3.0,Finished,15.0,1.0,39.0,3.0,52.0,11.0,83.792,0.192999999999998,4.0,83.4,0.799999999999997,3.0,83.481,1.18900000000001,9.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
50,VET,Ferrari,82.885,11,0.081000000000003,2019,Australia,81.912,6.0,0.620000000000005,3.0,4.0,Finished,12.0,-1.0,37.0,4.0,73.0,5.0,83.637,0.0379999999999967,2.0,83.473,0.87299999999999,5.0,82.556,0.26400000000001,2.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
51,PER,Aston Martin,82.908,12,0.0580000000000069,2019,Australia,82.532,10.0,0.0,10.0,13.0,+1 Lap,0.0,-3.0,5.0,13.0,7.0,9.0,85.498,1.899,16.0,84.401,1.801,16.0,84.082,1.79000000000001,14.0,SOFT,1,"SOFT, HARD",1.0,1.0,0,SOFT-HARD,1,0,0,0,0,0,SOFT-HARD,0,0.0,0,0
52,RIC,Alpine,82.921,13,0.0450000000000017,2019,Australia,82.57,12.0,-0.0379999999999967,12.0,19.0,Damage,0.0,-7.0,6.0,19.0,12.0,7.0,85.634,2.035,17.0,83.644,1.044,8.0,83.695,1.40300000000001,10.0,SOFT,1,"SOFT, HARD",1.0,0.0,1,SOFT-HARD,1,0,0,0,0,0,SOFT-HARD,0,0.0,1,1
53,GRO,Haas F1 Team,82.959,14,0.007000000000005,2019,Australia,81.87,5.0,0.662000000000006,6.0,18.0,Wheel,0.0,-12.0,0.0,18.0,8.0,6.0,85.224,1.625,12.0,83.814,1.214,10.0,83.112,0.820000000000007,4.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,1,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,1
54,RAI,Kick Sauber,82.966,15,0.0,2019,Australia,82.349,8.0,0.183000000000007,9.0,8.0,+1 Lap,4.0,1.0,12.0,8.0,12.0,15.0,84.816,1.217,6.0,83.572,0.971999999999994,6.0,84.402,2.11,17.0,SOFT,1,"SOFT, MEDIUM",1.0,1.0,0,SOFT-MEDIUM,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,0
55,STR,Aston Martin,83.017,16,-0.0510000000000019,2019,Australia,,,,16.0,9.0,+1 Lap,2.0,7.0,2.0,9.0,7.0,13.0,85.288,1.68900000000001,15.0,84.011,1.411,13.0,84.345,2.053,16.0,MEDIUM,1,"MEDIUM, HARD",0.0,,0,MEDIUM-HARD,0,1,0,0,0,0,SOFT-HARD,1,0.0,0,0
56,GAS,Red Bull Racing,83.02,17,-0.054000000000002,2019,Australia,,,,17.0,11.0,+1 Lap,0.0,6.0,13.0,11.0,52.0,3.0,84.932,1.333,8.0,83.442,0.841999999999999,4.0,83.367,1.075,6.0,MEDIUM,1,"MEDIUM, SOFT",0.0,,0,MEDIUM-SOFT,0,1,0,0,0,0,SOFT-HARD,1,0.0,0,0
57,SAI,McLaren,83.084,18,-0.117999999999995,2019,Australia,,,,18.0,20.0,Engine,0.0,-2.0,0.0,20.0,8.0,12.0,85.285,1.68600000000001,14.0,84.133,1.533,14.0,84.049,1.757,13.0,SOFT,0,SOFT,0.0,,1,SOFT,1,0,0,0,0,0,SOFT-HARD,1,0.0,0,1
58,RUS,Williams,84.36,19,-1.39399999999999,2019,Australia,,,,19.0,16.0,+2 Laps,0.0,3.0,0.0,16.0,0.0,17.0,88.74,5.14100000000001,20.0,86.453,3.85299999999999,19.0,85.944,3.652,19.0,MEDIUM,2,"MEDIUM, SOFT, HARD",0.0,,0,MEDIUM-SOFT-HARD,0,1,0,0,0,0,SOFT-HARD,1,0.0,0,0
59,KUB,Williams,86.067,20,-3.101,2019,Australia,,,,20.0,17.0,+3 Laps,0.0,3.0,0.0,17.0,0.0,16.0,87.914,4.315,19.0,86.655,4.05499999999999,20.0,86.589,4.297,20.0,MEDIUM,1,"MEDIUM, SOFT",0.0,,0,MEDIUM-MEDIUM-SOFT-SOFT,0,1,0,0,0,0,SOFT-HARD,1,0.0,0,0
60,LEC,Ferrari,88.405,1,1.318,2019,Japan,88.179,5.0,0.965000000000003,2.0,6.0,+1 Lap,8.0,-4.0,44.0,6.0,99.0,2.0,89.912,1.181,4.0,88.141,0.355999999999994,4.0,,,,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-SOFT-SOFT,1,0,0,0,0,0,SOFT-MEDIUM,1,0.0,0,0
61,HAM,Mercedes,88.735,2,0.988,2019,Japan,87.826,2.0,1.318,4.0,3.0,Finished,16.0,1.0,84.0,3.0,171.0,1.0,88.807,0.0759999999999934,2.0,87.885,0.0999999999999943,2.0,,,,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-SOFT,1,0,0,0,0,0,SOFT-MEDIUM,1,0.0,0,0
